epoch_number,noise_scale,test_acc,train_acc,val_acc
1,  0.5424  , 75.87 , 75.24, 76.12
2,  0.5466  , 76.22 , 76.23, 76.20
3,   0.5493 ,  76.40  , 76.35, 76.43                                                                           
4, 0.5514    , 76.48 , 76.42, 76.40
5, 0.5532  , 76.71, 76.46, 76.49
6, 0.5548   , 76.56  , 76.44, 76.47
7, 0.5562    , 76.46 ,76.51, 76.50
8, 0.5576 ,91.91 , 76.61, 76.60
9,0.5589 ,    91.98, 76.52,  76.60
10,  0.5601  , 92.37 ,  76.60, 76.60
